Q,A,label
한국어가 불가능합니다,괜찮습니다. 통역사가 원활한 소통이 가능하도록 도와드릴 것입니다!,3
통역 서비스를 제공받을 수 있나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
통역이 가능합니까?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
당신은 통역 서비스를 제공합니까?,물론입니다. 저희 가게는 통역사가 상주하고 있습니다.,3
통역이 필요합니다,"걱정하지 마세요, 통역이 필요하시면 언제든 통역사가 도와드릴 거예요! ",3
번역기가 있나요?,"물론입니다, 저희는 통역 서비스를 제공합니다.",3
통역이 있나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
번역가가 있나요?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
거기 통역사가 있나요?,물론입니다. 통역사가 고객님을 도와드릴 거예요.,3
통역사가 상주하나요?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
통역사가 있습니까?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
번역이 제공되나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
번역 서비스가 제공되나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
번역을 제공하나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
번역도 제공하나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
통역,저희는 통역 서비스를 제공해 드립니다.,3
번역,저희는 통역 서비스를 제공해 드립니다.,3
통역 제공,저희는 통역 서비스를 제공해 드립니다.,3
번역 제공,저희는 통역 서비스를 제공해 드립니다.,3
통역 제공 여부,저희는 통역 서비스를 제공해 드립니다.,3
한국어를 할 수 없습니다,걱정하지 마세요. 항상 통역사가 상주하고 있습니다.,3
한국어를 할 줄 모릅니다.,"걱정하지 마세요, 통역사가 원활한 대화를 도울 것입니다!",3
한국어를 할 수 없음,걱정하지 마세요. 저희는 통역 서비스를 제공합니다.,3
한국어를 구사할 수 없음,걱정하지 마세요. 항상 통역사가 상주하고 있습니다.,3
한국어를 할 수 없는 경우,"걱정하지 마세요, 통역사가 원활한 대화를 도울 것입니다!",3
한국어를 못해요,걱정하지 마세요. 저희는 통역 서비스를 제공합니다.,3
영어로 의사소통할 수 있나요?,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
영어로 의사소통이 가능한가요?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
영어로 소통할 수 있나요?,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
영어 사용,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
영어 가능,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
영어를 사용할 수 있나요?,"네, 영어 통역사가 당신을 도울 것입니다.",3
영어를 사용해도 되나요?,"네, 영어 통역사가 당신을 도울 것입니다.",3
그곳에서 영어로 말할 수 있나요?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
그곳에서 영어를 할 수 있나요?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
영어로 말할 수 있나요?,물론입니다. 영어 통역사가 정보 전달을 도울 것입니다.,3
영어를 해도 되나요?,물론입니다. 영어 통역사가 정보 전달을 도울 것입니다.,3
통역사,항상 통역사가 상주하고 있습니다. 걱정하지 마세요!,3
통역사 존재,항상 통역사가 상주하고 있습니다. 걱정하지 마세요!,3
영어를 사용할 수 있는지 궁금해요,물론입니다. 영어 통역사가 정보 전달을 도울 것입니다.,3
영어로 말해도 되는 지 궁금해요,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
영어로 소통할 수 있는지 궁금해,통역 서비스를 제공하기 때문에 영어 사용이 가능합니다.,3
번역을 제공하는지 궁금해요,물론입니다. 저희는 통역 서비스를 제공합니다.,3
번역가가 있는지 궁금합니다,통역사가 원활한 소통이 가능하도록 도와드릴 것입니다!,3
통역사가 있는지 궁금해,통역사가 원활한 소통이 가능하도록 도와드릴 것입니다!,3
한국어를 못 해도 되나요?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
한국어 못해도 돼?,물론입니다. 저희는 통역 서비스를 제공합니다.,3
한국어,한국어를 못 해도 걱정하지 마세요. 저희는 통역 서비스를 제공합니다.,3
통역사 있어?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
번역가 있어?,"네, 항상 통역사가 상주하고 있습니다. 걱정하지 마세요!",3
통역 가능해?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
통역 해줘?,네! 통역이 제공됩니다. 걱정하지 마세요!,3
가격이 어떻게 되나요?,구체적인 세션을 알려주세요.,4
얼마를 내야 하나요?,구체적인 세션을 알려주세요.,4
가격이 어떻게 돼?,구체적인 세션을 알려주세요.,4
얼마입니까?,구체적인 세션을 알려주세요.,4
얼마예요?,구체적인 세션을 알려주세요.,4
얼마야?,구체적인 세션을 알려주세요.,4
얼마를 내야 합니까?,구체적인 세션을 알려주세요.,4
얼마를 내야 해?,구체적인 세션을 알려주세요.,4
얼마를 내야 돼?,구체적인 세션을 알려주세요.,4
가격이 어떻게 됩니까?,구체적인 세션을 알려주세요.,4
얼마나 많이?,구체적인 세션을 알려주세요.,4
얼마나 될까요?,구체적인 세션을 알려주세요.,4
비용은 얼마입니까?,구체적인 세션을 알려주세요.,4
비용은 얼마나 될까요?,구체적인 세션을 알려주세요.,4
비용은 얼마가 들까요?,구체적인 세션을 알려주세요.,4
얼마인가요?,구체적인 세션을 알려주세요.,4
얼마가 될까요?,구체적인 세션을 알려주세요.,4
비용은 얼마인가요?,구체적인 세션을 알려주세요.,4
비용,구체적인 세션을 알려주세요.,4
가격,구체적인 세션을 알려주세요.,4
가격은 얼마인가요?,구체적인 세션을 알려주세요.,4
가격은 얼마나 되나요?,구체적인 세션을 알려주세요.,4
가격은 얼마입니까?,구체적인 세션을 알려주세요.,4
가격은 어느 정도인가요?,구체적인 세션을 알려주세요.,4
가격은 얼마일까요?,구체적인 세션을 알려주세요.,4
비용이 어떻게 되나요?,구체적인 세션을 알려주세요.,4
비용이 어떻게 돼?,구체적인 세션을 알려주세요.,4
비용이 어떻게 됩니까?,구체적인 세션을 알려주세요.,4
가격이 어떻게 돼?,구체적인 세션을 알려주세요.,4
가격이 어떻게 되나요?,구체적인 세션을 알려주세요.,4
돈,구체적인 세션을 알려주세요.,4
돈을 얼마나 내야 해?,구체적인 세션을 알려주세요.,4
돈을 얼마나 내야 합니까?,구체적인 세션을 알려주세요.,4
얼마를 지불해야 하나요?,구체적인 세션을 알려주세요.,4
얼마를 결제해야 하나요?,구체적인 세션을 알려주세요.,4
지불,구체적인 세션을 알려주세요.,4
결제,구체적인 세션을 알려주세요.,4
금액은 얼마인가요?,구체적인 세션을 알려주세요.,4
돈이 얼마나 되나요?,구체적인 세션을 알려주세요.,4
금액은 얼마입니까?,구체적인 세션을 알려주세요.,4
금액은 얼마예요?,구체적인 세션을 알려주세요.,4
얼마,구체적인 세션을 알려주세요.,4
시간이 얼마나 걸리나요?,구체적인 세션을 알려주세요.,4
얼마나 걸리나요?,구체적인 세션을 알려주세요.,4
얼마나 오래 걸리나요?,구체적인 세션을 알려주세요.,4
얼마나 걸릴까요?,구체적인 세션을 알려주세요.,4
소요 시간은 얼마나 걸리나요?,구체적인 세션을 알려주세요.,4
소요 시간은 어떻게 되나요?,구체적인 세션을 알려주세요.,4
시간,구체적인 세션을 알려주세요.,4
소요 시간,구체적인 세션을 알려주세요.,4
Personal Color,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 1:1,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color(1:1),"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color 1:1 가격 알려줘,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color 가격 알려줘,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 2:1 가격 알려줘,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color(1:1) 가격이 어떻게 되나요?,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color(2:1) 가격 알려줘,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 2:1,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color(2:1),"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 가격,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color(1:1) 얼마야?,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color 1:1 얼마입니까?,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color(2:1) 얼마인가요?,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 2:1 얼마야?,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color는 얼마인가요?,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 소요 시간,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 시간,"Personal Color(1:1) - 150,000\(80min), Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color(1:1) 얼마나 걸리나요?,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color 1:1 시간이 얼마나 걸리나요?,"Personal Color(1:1) - 150,000\(80min)입니다.",4
Personal Color(2:1) 소요 시간이 어떻게 되나요?,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Personal Color 2:1 얼마나 오래 걸리나요?,"Personal Color(2:1) - 260,000\(110min)입니다.",4
Premium image making,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making 1:1,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making(1:1),"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making 1:1 가격 알려줘,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making 가격 알려줘,"Premium image making(2:1) - 350,000\(170min), Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 2:1 가격 알려줘,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making(1:1) 가격이 어떻게 되나요?,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making(2:1) 가격 알려줘,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 2:1,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making(2:1),"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 가격,"Premium image making(2:1) - 350,000\(170min), Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making(1:1) 얼마야?,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making 1:1 얼마입니까?,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making(2:1) 얼마인가요?,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 2:1 얼마야?,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making는 얼마인가요?,"Premium image making(2:1) - 350,000\(170min), Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 소요 시간,"Premium image making(2:1) - 350,000\(170min), Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 시간,"Premium image making(2:1) - 350,000\(170min), Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making(1:1) 얼마나 걸리나요?,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making 1:1 시간이 얼마나 걸리나요?,"Premium image making(1:1) - 200,000\(110min)입니다.",4
Premium image making(2:1) 소요 시간이 어떻게 되나요?,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Premium image making 2:1 얼마나 오래 걸리나요?,"Premium image making(2:1) - 350,000\(170min)입니다.",4
Make up+Personal Color,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 1:1,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color(1:1),"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color 1:1 가격 알려줘,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color 가격 알려줘,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 2:1 가격 알려줘,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color(1:1) 가격이 어떻게 되나요?,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color(2:1) 가격 알려줘,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 2:1,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color(2:1),"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 가격,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color(1:1) 얼마야?,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color 1:1 얼마입니까?,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color(2:1) 얼마인가요?,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 2:1 얼마야?,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color는 얼마인가요?,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 소요 시간,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 시간,"Make up+Personal Color(1:1) - 200,000\(110min), Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color(1:1) 얼마나 걸리나요?,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color 1:1 시간이 얼마나 걸리나요?,"Make up+Personal Color(1:1) - 200,000\(110min)입니다.",4
Make up+Personal Color(2:1) 소요 시간이 어떻게 되나요?,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
Make up+Personal Color 2:1 얼마나 오래 걸리나요?,"Make up+Personal Color(2:1) - 360,000\(170min)입니다.",4
퍼스널 컬러,"퍼스널 컬러(1:1) - 150,000\(80min), 퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러 1:1,"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러(1:1),"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러 1:1 가격 알려줘,"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러 가격 알려줘,"퍼스널 컬러(1:1) - 150,000\(80min), 퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러 2:1 가격 알려줘,"퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러(1:1) 가격이 어떻게 되나요?,"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러(2:1) 가격 알려줘,"퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러 2:1,"퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러(2:1),"퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러 가격,"퍼스널 컬러(1:1) - 150,000\(80min), 퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
퍼스널 컬러(1:1) 얼마야?,"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러 1:1 얼마입니까?,"퍼스널 컬러(1:1) - 150,000\(80min)입니다.",4
퍼스널 컬러(2:1) 얼마인가요?,"퍼스널 컬러(2:1) - 260,000\(110min)입니다.",4
